ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-04,0.19988978875,0.06907088727126912,0.3293311449102836,0.19988978875,0.19988978875,0.0,0.0,0.0,0.0,0.0,0.0,0.19988978875
2025-10-05,0.17074344675,0.04150322377443391,0.3082384623238356,0.17074344675,0.17074344675,0.0,0.0,0.0,0.0,0.0,0.0,0.17074344675
2025-10-06,0.14159710475352216,0.0006731862877307612,0.2735638441103789,0.14159710475352216,0.14159710475352216,0.0,0.0,0.0,0.0,0.0,0.0,0.14159710475352216
2025-10-07,0.11245076275704438,-0.017626283107589565,0.23610267327565657,0.11245076223210358,0.11245076345824867,0.0,0.0,0.0,0.0,0.0,0.0,0.11245076275704438
2025-10-08,0.08330442076056659,-0.0450062974975118,0.21552300216066225,0.08330441888509904,0.08330442308989683,0.0,0.0,0.0,0.0,0.0,0.0,0.08330442076056659
2025-10-09,0.054158078764088805,-0.0778047908026358,0.19098793769798364,0.054158074923279606,0.054158083497039794,0.0,0.0,0.0,0.0,0.0,0.0,0.054158078764088805
2025-10-10,0.025011736767610985,-0.10889642165421415,0.14981211673341732,0.025011730492812235,0.025011744648359903,0.0,0.0,0.0,0.0,0.0,0.0,0.025011736767610985
2025-10-11,-0.0041346052288668035,-0.13573241756006493,0.12384800610608916,-0.004134614391762226,-0.00413459378835406,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041346052288668035
2025-10-12,-0.03328094722534459,-0.15633139315946656,0.09897694725786081,-0.03328095947993474,-0.03328093202428167,0.0,0.0,0.0,0.0,0.0,0.0,-0.03328094722534459
2025-10-13,-0.06242728922182238,-0.1934865495857,0.06972184431838795,-0.06242730496901396,-0.06242726983433292,0.0,0.0,0.0,0.0,0.0,0.0,-0.06242728922182238
